timestamp,version,batch_id,experiment_id,test_case_id,scenario,run_id,lifecycle_phase,total_requests,request_interval_seconds,configured_requests_per_second,achieved_requests_per_second,workload_duration_seconds,workload_level,successful_requests,failed_requests,cloud_success,edge_success,failover_enabled,expected_cloud_status,expected_edge_status,failover_transition_count,observed_failover_recovery_seconds,cloud_failure_detection_seconds,mean_total_request_latency_seconds,p95_total_request_latency_seconds,availability_percent,recovery_scope_records,rpo_related_exposure_records,pending_edge_sync_count,oldest_pending_age_seconds,recovery_completeness_percent,replica_convergence_percent,missing_from_cloud_count,duplicate_client_order_ids,pre_recovery_rpo_exposure_records,pre_recovery_pending_sync_count,post_recovery_rpo_exposure_records,cloud_record_count,edge_record_count,recovery_sync_time_seconds,records_synced_back_to_cloud,cloud_process_rss_mb,edge_process_rss_mb,cloud_cpu_percent_snapshot,edge_cpu_percent_snapshot,cloud_db_size_bytes,edge_db_size_bytes,lifecycle_transition_count,notes,scenario_display,request_success_rate_percent,edge_share_of_success_percent,configured_achieved_rate_ratio_percent,data_quality_issue
2026-08-22 18:06:10,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180558530355-run1-a0386f,TC01,normal_operation,1,single_scenario,30,0.2,5.0,2.509,11.956047,medium,30,0,30,0,False,available,available,0.0,,,0.201714,0.258772,100.0,0,0,0,,,,0,0,0,0,,30,0,,,41.996,39.891,0.0,0.0,36864.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,50.18,
2026-08-22 18:06:23,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180611418888-run2-3743d3,TC01,normal_operation,2,single_scenario,30,0.2,5.0,2.589,11.58736,medium,30,0,30,0,False,available,available,0.0,,,0.190847,0.218555,100.0,0,0,0,,,,0,0,0,0,,60,0,,,46.719,40.031,0.0,0.0,45056.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,51.78,
2026-08-22 18:06:35,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180623857411-run3-1c69a5,TC01,normal_operation,3,single_scenario,30,0.2,5.0,2.593,11.56909,medium,30,0,30,0,False,available,available,0.0,,,0.190051,0.217566,100.0,0,0,0,,,,0,0,0,0,,90,0,,,51.613,40.18,0.0,0.0,53248.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,51.85999999999999,
2026-08-22 18:06:49,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180636341031-run4-347d01,TC01,normal_operation,4,single_scenario,30,0.2,5.0,2.37,12.659403,medium,30,0,30,0,False,available,available,0.0,,,0.226594,0.327499,100.0,0,0,0,,,,0,0,0,0,,120,0,,,44.223,39.676,0.0,0.0,77824.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,47.400000000000006,
2026-08-22 18:07:03,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180649884969-run5-0e79e5,TC01,normal_operation,5,single_scenario,30,0.2,5.0,2.326,12.899789,medium,30,0,30,0,False,available,available,0.0,,,0.234952,0.320438,100.0,0,0,0,,,,0,0,0,0,,150,0,,,48.215,39.801,0.0,0.0,102400.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,46.52,
2026-08-22 18:07:16,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180703651516-run6-93aab6,TC01,normal_operation,6,single_scenario,30,0.2,5.0,2.336,12.840298,medium,30,0,30,0,False,available,available,0.0,,,0.23264,0.326689,100.0,0,0,0,,,,0,0,0,0,,180,0,,,53.043,39.934,0.0,0.0,110592.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,46.71999999999999,
2026-08-22 18:07:29,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180717402067-run7-26b425,TC01,normal_operation,7,single_scenario,30,0.2,5.0,2.46,12.195443,medium,30,0,30,0,False,available,available,0.0,,,0.211336,0.279932,100.0,0,0,0,,,,0,0,0,0,,210,0,,,44.715,40.059,0.0,0.0,126976.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,49.2,
2026-08-22 18:07:43,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180730461218-run8-ec613f,TC01,normal_operation,8,single_scenario,30,0.2,5.0,2.432,12.335812,medium,30,0,30,0,False,available,available,0.0,,,0.21576,0.31413,100.0,0,0,0,,,,0,0,0,0,,240,0,,,48.781,40.188,0.0,0.0,131072.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,48.64,
2026-08-22 18:07:57,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180743658290-run9-3296b2,TC01,normal_operation,9,single_scenario,30,0.2,5.0,2.158,13.899242,medium,30,0,30,0,False,available,available,0.0,,,0.268027,0.413559,100.0,0,0,0,,,,0,0,0,0,,270,0,,,53.363,40.316,0.0,0.0,143360.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,100.0,0.0,43.16,
2026-08-22 18:08:16,4.1,TC01-batch-20260822T180558-a2cc9e,TC01-20260822T180758401322-run10-600b89,TC01,normal_operation,10,single_scenario,30,0.2,5.0,1.669,17.975301,medium,29,1,29,0,False,available,available,0.0,,5.016811,0.40387,0.427592,96.67,0,0,0,,,,0,0,0,0,,300,0,,,45.754,40.469,0.0,0.0,159744.0,28672.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Normal Operation,96.66666666666667,0.0,33.379999999999995,
