database,id,client_order_id,customer_name,order_details,created_at,source,pending_cloud_sync,synced_to_cloud_at,experiment_id,batch_id,test_case_id,run_id,request_number,phase
edge,1,v41-TC02-1-1-c7fb0e0a,V4.1 TC02 Run 1 Customer 1,"V4.1 test order 1 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:30.828,edge,0,2026-08-22T18:39:08.766,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,1,workload
edge,2,v41-TC02-1-2-11b995bd,V4.1 TC02 Run 1 Customer 2,"V4.1 test order 2 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:33.259,edge,0,2026-08-22T18:39:09.163,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,2,workload
edge,3,v41-TC02-1-3-85e004bf,V4.1 TC02 Run 1 Customer 3,"V4.1 test order 3 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:33.800,edge,0,2026-08-22T18:39:09.536,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,3,workload
edge,4,v41-TC02-1-4-4cab05fe,V4.1 TC02 Run 1 Customer 4,"V4.1 test order 4 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:34.182,edge,0,2026-08-22T18:39:09.928,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,4,workload
edge,5,v41-TC02-1-5-5894e404,V4.1 TC02 Run 1 Customer 5,"V4.1 test order 5 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:34.577,edge,0,2026-08-22T18:39:10.292,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,5,workload
edge,6,v41-TC02-1-6-918384b9,V4.1 TC02 Run 1 Customer 6,"V4.1 test order 6 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:35.078,edge,0,2026-08-22T18:39:10.832,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,6,workload
edge,7,v41-TC02-1-7-d1917717,V4.1 TC02 Run 1 Customer 7,"V4.1 test order 7 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:35.454,edge,0,2026-08-22T18:39:11.216,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,7,workload
edge,8,v41-TC02-1-8-dbf20b43,V4.1 TC02 Run 1 Customer 8,"V4.1 test order 8 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:35.821,edge,0,2026-08-22T18:39:11.583,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,8,workload
edge,9,v41-TC02-1-9-83cfa2d2,V4.1 TC02 Run 1 Customer 9,"V4.1 test order 9 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:36.348,edge,0,2026-08-22T18:39:11.938,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,9,workload
edge,10,v41-TC02-1-10-8bef7205,V4.1 TC02 Run 1 Customer 10,"V4.1 test order 10 for cloud_failure_with_stateful_edge_failover, run 1, phase workload",2026-08-22T18:08:36.703,edge,0,2026-08-22T18:39:12.258,TC02-20260822T180830806173-run1-23c40b,TC02-batch-20260822T180830-a18476,TC02,1,10,workload
