client_order_id,present_in_cloud,present_in_edge,pending_cloud_sync,batch_id,diagnostic_status
v41-TC01-1-1-6cb57494,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-10-03de9070,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-11-2b24b4fb,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-12-07284974,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-13-a421e2fd,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-14-12e6a89f,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-15-9e9f29e8,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-16-21a91489,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-17-0515f033,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-18-3cd55f64,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-19-ae4d6ca8,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-2-2d496798,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-20-f5a5d5f8,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-21-d17a99c9,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-22-4fdcf002,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-23-4b985cb6,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-24-10e65cf5,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-25-09b4f3b6,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-26-05eefe23,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-27-a177c2d9,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-28-9050c834,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-29-079eb9d1,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-3-2443a7ec,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-30-a28cbee3,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-4-c2d7bcea,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-5-8dfa2ef1,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-6-c02773bb,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
v41-TC01-1-7-a1a4f40f,True,False,0,TC01-batch-20260822T180558-a2cc9e,cloud_only
